省份,城市,小区名字,价格,居室,面积,行政区,地址,是否在售or类型,origin_url
湖北,武汉,城投瀚城璞岸,"23000元/㎡
												广告","3居,4居",98~230平米,洪山区,[二至三环]洪山区雄楚大道450号,|在售||普通住宅||叠拼||低密居所||豪华居住区|,https://hanchengpuanct.fang.com/?from=xflist_xfgg
湖北,武汉,当代·铭山筑,"400万元/套起
												广告",5居,97~123平米,东湖高新区,[三至四环]东湖高新区光谷三路66号(地铁11号线生物园站e出口北行约800米处),|待售||商业||品牌地产||地铁沿线||不限购|,https://mingshanzhudd.fang.com/villa/?from=xflist_xfgg
湖北,武汉,招商樾望,价格待定,"3居,4居",116~154平米,汉阳区,[二至三环]汉阳区四新北路与芳草路交汇处(汉阳麦德龙旁),|待售||商住楼||品牌地产|,https://zhaoshangyuewang.fang.com/
湖北,武汉,武汉恒大科技旅游城,10800元/㎡,"2居,3居,4居,5居",69~275平米,江夏区,[四环以外]江夏区湖北省武汉市江夏区天子山大道景观路三号,|在售||商住楼||不限购|,https://kejilvyouchenghd.fang.com/
湖北,武汉,中建铂公馆,价格待定往期15423元/㎡,"3居,4居",112~156平米,洪山区,[二至三环]洪山区洪山区白沙洲大道与八坦路交叉路口,|待售||普通住宅||购物中心|,https://bogongguanzj.fang.com/
湖北,武汉,兰亭大境,价格待定,,,汉阳区,[三至四环]汉阳区长江路地铁6号线老关村站东侧,|待售||普通住宅||地铁沿线||江景地产|,https://lantingdajing.fang.com/
湖北,武汉,天纵御景湾,9464元/㎡,,,黄陂区,[三至四环]黄陂区川龙大道与后湖北路交汇处,|待售||普通住宅||不限购||湖景地产|,https://tianzongyujingwan.fang.com/
湖北,武汉,恒韵府,22000元/㎡,3居,102~149平米,汉阳区,[内至二环]汉阳区汉阳大道与江城大道交汇处(四号线五里墩站d出口),|在售||普通住宅||购物中心|,https://wanxianghuirunfu.fang.com/
湖北,武汉,建发金茂玺悦,13200元/㎡起,3居,97~114平米,江夏区,[三至四环]江夏区黄家湖畔·军运村南一公里·近地铁8号线,|待售||普通住宅||地铁沿线||低密居所||湖景地产|,https://xiyuejfjm.fang.com/
湖北,武汉,滨江金茂府,23000元/㎡,"2居,3居",96~130平米,汉阳区,[二至三环]汉阳区晴川大道与两湖路交汇处,|待售||普通住宅||住宅底商||品牌地产||地铁沿线|,https://binjiangjinmaofu.fang.com/
湖北,武汉,星河2049,18200元/㎡,"2居,3居,4居",88~172平米,江岸区,[二至三环]江岸区温馨路与景秀街交汇处(汉口城市广场旁),|待售||普通住宅||品牌地产||公园地产|,https://xinghe2049.fang.com/
湖北,武汉,中建壹品澜庭,9319元/㎡,"2居,3居,4居",80~130平米,经济开发区,"[四环以外]经济开发区经开大道与枫林三路,枫林四路交叉口处",|待售||普通住宅|,https://yipinlantingzj.fang.com/
湖北,武汉,海伦国际,价格待定往期11000元/㎡,"2居,3居",75~175平米,青山区,[三至四环]青山区武东中路(武东中学附近),|待售||普通住宅||叠拼||品牌地产||低密居所|,https://hailunguoji027.fang.com/
湖北,武汉,中建大公馆,24000元/㎡,"3居,4居",125~169平米,东湖高新区,[二至三环]东湖高新区关山大道与南湖大道交汇处(光谷软件园对面),|待售||普通住宅||购物中心||品牌地产||国际化社区|,https://dagongguanzj027.fang.com/
湖北,武汉,新城阅璟台,13525元/㎡,"3居,4居",113~140平米,洪山区,[三至四环]洪山区青菱乡建和村丽水路与南郊路交汇处(青菱街办事处附近),|在售||普通住宅||花园洋房||品牌地产||地铁沿线|,https://yuejingtaixc.fang.com/
